id,polarity,text,pos,neg,neu,sum,exclamation_freq,question_freq,uppercase_freq,word_count,char_count
t1,negative,"Vineet , what you be try to do be a terrible idea ! if you ever find yourself have to engineer something as fundamental as that , take a step back and work out what else do it ! I do not really believe in the whole spoon feed so thing , but what mtwebster say be on the right track !",1,-3,-1,-3,0.04838709677419355,0.0,0.007067137809187279,62,283
t2,positive,"' course I do , correct .",1,-1,0,0,0.0,0.0,0.04,7,25
t3,positive,"excellent , happy to help ! if you do not mind , can you accept my answer ?",2,-1,1,2,0.05555555555555555,0.05555555555555555,0.0,18,75
t6,negative,"< @user > I be use it a few dozen time in my class . it be heavy to write , not easy to read and very painful to debug . I be sorry , I do not think the question be that subjective , maybe someone should move it to PROGRAMMERS ! ?",1,-3,-1,-3,0.018518518518518517,0.018518518518518517,0.06086956521739131,54,230
t7,neutral,I do not select an answer because even though two of they help neither of they be complete .,1,-1,0,0,0.0,0.0,0.010869565217391304,19,92
t10,neutral,this be for tomcat 5.5,1,-1,0,0,0.0,0.0,0.0,5,22
t11,neutral,"Paraphrasing Cypher , "" StateOf . confusion be bliss "" , so ... do all ` MapCollection Items ` have the same state ? if so then have a single ` ItemStatus ` that every ` item ` reference . [ ` application . Properties`](<link > may be a way to globally communicate visualness .",1,-2,-1,-2,0.0,0.01818181818181818,0.036101083032490974,55,277
t12,positive,excellent ! thank you for your perseverence :),2,-1,1,2,0.125,0.0,0.0,8,46
t14,positive,"wow , I have just have a look at the Corona SDK . it look excellent ! a really intuitive way to build app . thank for the tip !",4,-1,1,4,0.06666666666666667,0.0,0.03937007874015748,30,127
t15,neutral,a few but they all seem proprietary .,1,-1,0,0,0.0,0.0,0.0,8,37
t17,negative,"to push it to Heroku , you will have to add it to your repo . why do not you want to commit it ? it be recommend to commit Gemfile.lock in your repo ( unless you be develop a gem ): when develop an app , check in your gemfile.lock , since you will use the bundler tool across all machine , and the precision enforce by bundler be extremely desirable for application .",3,-2,1,2,0.0,0.013333333333333334,0.005449591280653951,75,367
t19,positive,< @user > rn Ravn Andersen that be really great !,4,-1,1,4,0.09090909090909091,0.0,0.04081632653061224,11,49
